SecurityId,AssetName,ExchangeType,SchemaName
ANTARIKSH,Antariksh Industries Ltd,BSE,ExchangeList
IITL,INDUSTRIAL INVESTMENT TRUST LTD.,BSE,ExchangeList
INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,BSE,ExchangeList
TATAINVEST,TATA INVESTMENT CORPORATION LTD.,BSE,ExchangeList
JAYBHCR,JAYABHARAT CREDIT LTD.-$,BSE,ExchangeList
PRISMX,Prismx Global Ventures Ltd,BSE,ExchangeList
MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,BSE,ExchangeList
WALCHPF,WALCHAND PEOPLEFIRST LTD.,BSE,ExchangeList
ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,BSE,ExchangeList
WHBRADY,W.H.BRADY & CO.LTD.,BSE,ExchangeList
TECHNVISN,TECHNVISION VENTURES LTD.,BSE,ExchangeList
SHAILY,SHAILY ENGINEERING PLASTICS LTD.,BSE,ExchangeList
BBTC,BOMBAY BURMAH TRADING CORP.LTD.,BSE,ExchangeList
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,BSE,ExchangeList
GREAVESCOT,GREAVES COTTON LTD.,BSE,ExchangeList
MULLER,MULLER & PHIPPS (INDIA) LTD.,BSE,ExchangeList
SFTL,Springform Technology Ltd,BSE,ExchangeList
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,BSE,ExchangeList
ANANDPROJ,Anand Projects Ltd,BSE,ExchangeList
INDIANVSH,INDIANIVESH LTD.,BSE,ExchangeList
COASTCORP,COASTAL CORPORATION LTD.,BSE,ExchangeList
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,BSE,ExchangeList
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,BSE,ExchangeList
ASIIL,ASI Industries Ltd,BSE,ExchangeList
SAGCEM,SAGAR CEMENTS LTD.-$,BSE,ExchangeList
HEMACEM,HEMADRI CEMENTS LTD.,BSE,ExchangeList
DECCANCE,DECCAN CEMENTS LTD.-$,BSE,ExchangeList
MANGLMCEM,MANGALAM CEMENT LTD.,BSE,ExchangeList
NCLIND,NCL INDUSTRIES LTD.-$,BSE,ExchangeList
SAURASHCEM,SAURASHTRA CEMENT LTD.,BSE,ExchangeList
SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,BSE,ExchangeList
BORORENEW,Borosil Renewables Ltd,BSE,ExchangeList
LERTHAI,Lerthai Finance Ltd,BSE,ExchangeList
TRIVENIGQ,TRIVENI GLASS LTD.-$,BSE,ExchangeList
NILACHAL,NILACHAL REFRACTORIES LTD.,BSE,ExchangeList
ANDHRAPAP,Andhra Paper Ltd,BSE,ExchangeList
BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,BSE,ExchangeList
ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.,BSE,ExchangeList
CITADEL,CITADEL REALTY AND DEVELOPERS LTD.,BSE,ExchangeList
ROLLT,ROLLATAINERS LTD.,BSE,ExchangeList
SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,BSE,ExchangeList
NATHIND,Nath Industries Ltd,BSE,ExchangeList
VAPIENTER,Vapi Enterprise Ltd,BSE,ExchangeList
DCM,DCM LTD.,BSE,ExchangeList
ZGAEKWAR,GAEKWAR MILLS LTD.,BSE,ExchangeList
FORBESCO,FORBES & COMPANY LTD.-$,BSE,ExchangeList
HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.,BSE,ExchangeList
UNITEDINT,UNITED INTERACTIVE LTD.,BSE,ExchangeList
JAMSHRI,Jamshri Realty Ltd-$,BSE,ExchangeList
KATRSPG,KATARE SPINNING MILLS LTD.,BSE,ExchangeList
KESORAMIND,KESORAM INDUSTRIES LTD.,BSE,ExchangeList
LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$,BSE,ExchangeList
VTL,VARDHMAN TEXTILES LTD.,BSE,ExchangeList
PENINLAND,PENINSULA LAND LTD.,BSE,ExchangeList
PASUSPG,PASUPATI SPG.& WVG.MILLS LTD.,BSE,ExchangeList
PHOENIXLTD,The Phoenix Mills Ltd,BSE,ExchangeList
MARATHON,MARATHON NEXTGEN REALTY LTD.,BSE,ExchangeList
RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.,BSE,ExchangeList
RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,BSE,ExchangeList
RUBYMILLS,RUBY MILLS LTD.,BSE,ExchangeList
SIMPLXREA,SIMPLEX REALTY LTD.,BSE,ExchangeList
SWANENERGY,SWAN ENERGY LTD.,BSE,ExchangeList
VICTMILL,VICTORIA MILLS LTD.,BSE,ExchangeList
ZSVTRADI,S.V.TRADING & AGENCIES LTD.,BSE,ExchangeList
ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.,BSE,ExchangeList
KSHITIJ,Kshitij Investments Ltd,BSE,ExchangeList
SALSAIN,SHREE SALASAR INVESTMENT LTD.,BSE,ExchangeList
INDSOYA,INDSOYA LTD.,BSE,ExchangeList
ZODIACVEN,Zodiac Ventures Limited,BSE,ExchangeList
VEERENRGY,VEER ENERGY & INFRASTRUCTURE LTD.,BSE,ExchangeList
SW1,SW Investments Ltd,BSE,ExchangeList
TILAK,Tilak Ventures Ltd,BSE,ExchangeList
KKFIN,K K Fincorp Limited,BSE,ExchangeList
UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.,BSE,ExchangeList
WAGEND,Wagend Infra Venture Limited,BSE,ExchangeList
ELCIDIN,ELCID INVESTMENTS LTD.,BSE,ExchangeList
MEDIAONE,MEDIAONE GLOBAL ENTERTAINMENT LTD.,BSE,ExchangeList
HEALINV,HEALTHY INVESTMENTS LTD.,BSE,ExchangeList
SHRENTI,SHREENATH INVESTMENTS CO.LTD.,BSE,ExchangeList
BANSWRAS,BANSWARA SYNTEX LTD.-$,BSE,ExchangeList
MODWOOL,MODELLA WOOLLENS LTD.,BSE,ExchangeList
MODIPON,MODIPON LTD.,BSE,ExchangeList
SHRIDINE,SHRI DINESH MILLS LTD.-$,BSE,ExchangeList
SRF,SRF LTD.,BSE,ExchangeList
SIYSIL,SIYARAM SILK MILLS LTD.-$,BSE,ExchangeList
SWADPOL,SWADESHI POLYTEX LTD.,BSE,ExchangeList
ZSATYASL,SATYAM SILK MILLS LTD.,BSE,ExchangeList
